Timestamp;ADC_VAL[0];ADC_VAL[1]
0;0;1648
1308;0;1641
2164;0;1638
3165;0;1637
4164;0;1637
5168;0;1637
6166;0;1631
7166;0;1639
8164;0;1644
9164;0;1642
10163;0;1644
11163;0;1637
12183;0;1637
13160;0;1635
14160;0;1639
15165;0;1636
16164;0;1635
17163;0;1638
18162;0;1631
19161;0;1631
20161;0;1643
21159;0;1643
22159;0;1640
23188;0;1637
24163;0;1636
25169;0;1639
26167;0;1639
27168;0;1631
28167;0;1642
29166;0;1637
30165;0;1641
31172;0;1640
32156;0;1641
33190;0;1641
34218;0;1644
35191;0;1636
36189;0;1631
37199;0;1642
38184;0;1643
39168;0;1640
40182;0;1640
41157;0;1639
42175;0;1640
43164;0;1639
44164;0;1641
45188;0;1637
46165;0;1636
47163;0;1636
48163;0;1637
49161;0;1635
50161;0;1639
51161;0;1641
52160;0;1641
53160;0;1640
54158;0;1640
55163;0;1640
56211;0;1642
57165;0;1641
58165;0;1640
59164;0;1636
60163;0;1638
61162;0;1638
62161;0;1636
63160;0;1638
64159;0;1640
65164;0;1637
66164;0;1637
67204;0;1639
68159;0;1639
69159;0;1642
70157;0;1639
71157;0;1640
72156;0;1636
73176;0;1640
74176;0;1631
75160;0;1631
76158;0;1639
77157;0;1639
78204;0;1636
79158;0;1644
80159;0;1641
81157;0;1638
82157;0;1638
83155;0;1636
84176;0;1636
85174;0;1640
86194;0;1635
87168;0;1635
88154;0;1637
89231;0;1637
90199;0;1639
91188;0;1644
92157;0;1640
93180;0;1639
94157;0;1638
95176;0;1636
96182;0;1636
97168;0;1635
98168;0;1642
99168;0;1637
100202;0;1638
101158;0;1639
102158;0;1639
103157;0;1641
104156;0;1642
105160;0;1644
106160;0;1639
107159;0;1636
108158;0;1636
109156;0;1637
110156;0;1637
111183;0;1641
112158;0;1637
113158;0;1637
114156;0;1640
115163;0;1639
116162;0;1638
117160;0;1638
118160;0;1637
119159;0;1634
120158;0;1637
121156;0;1638
122182;0;1637
123178;0;1639
124181;0;1639
125188;0;1640
126200;0;1637
127174;0;1641
128157;0;1641
129181;0;1637
130204;0;1639
131172;0;1639
132171;0;1640
133204;0;1639
134181;0;1640
135164;0;1641
136164;0;1645
137164;0;1645
138162;0;1643
139163;0;1639
140161;0;1639
141160;0;1640
142159;0;1640
143158;0;1635
144201;0;1637
145189;0;1637
146166;0;1639
147169;0;1641
148167;0;1640
149167;0;1638
150165;0;1637
151165;0;1637
152163;0;1640
153163;0;1635
154162;0;1640
155168;0;1634
156212;0;1641
157195;0;1639
158172;0;1639
159173;0;1640
160172;0;1635
161171;0;1642
162171;0;1638
163171;0;1638
164170;0;1640
165175;0;1640
166173;0;1640
167173;0;1635
168217;0;1636
169189;0;1642
170173;0;1636
171173;0;1640
172179;0;1640
173175;0;1640
174192;0;1656
175161;0;1644
176204;0;1637
177187;0;1637
178205;0;1640
179182;0;1640
180419;0;1642
181187;0;1642
182178;0;1639
183156;0;1637
184176;0;1641
185160;0;1642
186157;0;1642
187157;0;1635
188156;0;1634
189176;0;1638
190176;0;1637
191174;0;1643
192172;0;1642
193196;0;1642
194173;0;1640
195158;0;1638
196157;0;1631
197156;0;1648
198177;0;1642
199176;0;1636
200176;0;1636
201176;0;1640
202174;0;1636
203174;0;1639
204218;0;1636
205195;0;1637
206172;0;1640
207171;0;1640
208170;0;1642
209169;0;1642
210168;0;1643
211167;0;1640
212167;0;1638
213165;0;1641
214163;0;1641
215168;0;1639
216334;0;1639
217158;0;1640
218390;0;1641
219006;0;1641
220171;0;1642
221175;0;1642
222175;0;1641
223159;0;1641
224199;0;1640
225159;0;1631
226197;0;1635
227193;0;1643
228372;0;1640
229190;0;1640
230165;0;1637
231188;0;1648
232220;0;1638
233181;0;1638
234181;0;1640
235175;0;1640
236174;0;1642
237173;0;1637
238172;0;1640
239171;0;1635
240314;0;1640
241170;0;1641
242170;0;1641
243170;0;1643
244169;0;1641
245174;0;1644
246173;0;1644
247172;0;1637
248171;0;1644
249171;0;1644
250169;0;1635
251312;0;1637
252170;0;1641
253168;0;1639
254168;0;1641
255174;0;1637
256172;0;1637
257170;0;1640
258170;0;1640
259171;0;1639
260170;0;1640
261169;0;1643
262168;0;1639
263294;0;1643
264165;0;1643
265174;0;1639
266173;0;1645
267166;0;1644
268203;0;1644
269190;0;1636
270199;0;1636
271174;0;1642
272229;0;1638
273172;0;1639
274172;0;1634
275277;0;1637
276179;0;1636
277196;0;1636
278185;0;1641
279169;0;1638
280169;0;1644
281167;0;1640
282167;0;1636
283165;0;1637
284165;0;1637
285169;0;1636
286291;0;1635
287158;0;1640
288156;0;1636
289156;0;1639
290154;0;1639
291175;0;1639
292175;0;1640
293176;0;1639
294176;0;1640
295159;0;1633
296157;0;1638
297157;0;1638
298284;0;1638
299164;0;1641
300167;0;1643
301165;0;1640
302163;0;1636
303163;0;1645
304161;0;1639
305167;0;1639
306165;0;1637
